outcome,tstop,model,survival,survivalse,survival.ll,survival.ul,haz,lead_tstop,vax1_az,vax1_az_descr,model_name,diff,diff.se,diff.ll,diff.ul,outcome_var,outcome_descr,diff_format,diff_CI
postest,0,0,1,0,1,1,0,1,1,ChAdOx1,Unadjusted,0,0,0,0,positive_test_date,Positive SARS-CoV-2 test,0.00,"(0.00, 0.00)"
postest,1,0,0.9996087220030188,4.557979004270087e-5,0.9995193872561121,0.9996980567499254,3.91431155379676e-4,2,1,ChAdOx1,Unadjusted,-6.462739704382603e-5,5.1767604072054375e-5,-1.6609003659098163e-4,3.6835242503329574e-5,positive_test_date,Positive SARS-CoV-2 test,-0.06,"(-0.17, 0.04)"
postest,2,0,0.9991611866683916,8.607322278411418e-5,0.9989924862517015,0.9993298870850817,4.47911048385919e-4,3,1,ChAdOx1,Unadjusted,-2.2952171662438126e-4,9.961504839377018e-5,-4.247636237943854e-4,-3.4279809454377185e-5,positive_test_date,Positive SARS-CoV-2 test,-0.23,"(-0.42, -0.03)"
postest,3,0,0.9986529456070369,1.2037854416386244e-4,0.9984170079959643,0.9988888832181094,5.089266131847057e-4,4,1,ChAdOx1,Unadjusted,-5.311481547333186e-4,1.4195903248659681e-4,-8.093827456871998e-4,-2.5291356377943737e-4,positive_test_date,Positive SARS-CoV-2 test,-0.53,"(-0.81, -0.25)"
postest,4,0,0.9980839097862875,1.484271909506887e-4,0.9977929978376977,0.9983748217348772,5.701282378865841e-4,5,1,ChAdOx1,Unadjusted,-0.001000110943448984,1.780248058297442e-4,-0.0013490331512300189,-6.511887356679493e-4,positive_test_date,Positive SARS-CoV-2 test,-1.00,"(-1.35, -0.65)"
postest,5,0,0.9974602230162124,1.716992019608793e-4,0.9971236987641948,0.99779674726823,6.25274828693529e-4,6,1,ChAdOx1,Unadjusted,-0.0016460189671770875,2.088647318063305e-4,-0.002055386319158113,-0.0012366516151960623,positive_test_date,Positive SARS-CoV-2 test,-1.65,"(-2.06, -1.24)"
postest,6,0,0.9967957405593978,1.9293152328649215e-4,0.9964176017222738,0.9971738793965218,6.666184753575523e-4,7,1,ChAdOx1,Unadjusted,-0.002440684598530196,2.3754455141584732e-4,-0.0029062633640289798,-0.0019751058330314125,positive_test_date,Positive SARS-CoV-2 test,-2.44,"(-2.91, -1.98)"
postest,7,0,0.996112415879269,2.1453168271051294e-4,0.9956919415076136,0.9965328902509244,6.859915299073957e-4,8,1,ChAdOx1,Unadjusted,-0.003309046124252313,2.670634570774599e-4,-0.0038324808817108928,-0.002785611366793733,positive_test_date,Positive SARS-CoV-2 test,-3.31,"(-3.83, -2.79)"
postest,8,0,0.9954370846584315,2.3669718545411614e-4,0.9949731666996995,0.9959010026171635,6.784268250054652e-4,9,1,ChAdOx1,Unadjusted,-0.004146630766684645,2.972268248090789e-4,-0.004729184638549636,-0.003564076894819654,positive_test_date,Positive SARS-CoV-2 test,-4.15,"(-4.73, -3.56)"
postest,9,0,0.9947914402838428,2.5775509252124156e-4,0.9942862495856694,0.9952966309820163,6.490248593257629e-4,10,1,ChAdOx1,Unadjusted,-0.004875092266950043,3.252486318635425e-4,-0.005512567871423513,-0.004237616662476573,positive_test_date,Positive SARS-CoV-2 test,-4.88,"(-5.51, -4.24)"
postest,10,0,0.9941887771533143,2.7603017550911584e-4,0.9936477679506702,0.9947297863559584,6.061858113648201e-4,11,1,ChAdOx1,Unadjusted,-0.0054609356549264465,3.488038541226934e-4,-0.006144578646675688,-0.004777292663177205,positive_test_date,Positive SARS-CoV-2 test,-5.46,"(-6.14, -4.78)"
postest,11,0,0.9936344387001605,2.908921418565498e-4,0.993064300578736,0.9942045768215851,5.578897344570171e-4,12,1,ChAdOx1,Unadjusted,-0.005907336011812703,3.6737000010110207e-4,-0.0066273679810113385,-0.005187304042614067,positive_test_date,Positive SARS-CoV-2 test,-5.91,"(-6.63, -5.19)"
postest,12,0,0.9931273240868586,3.0274631096518395e-4,0.9925339522209145,0.9937206959528027,5.106239663361064e-4,13,1,ChAdOx1,Unadjusted,-0.00623876822759073,3.818307263604781e-4,-0.006987142699448035,-0.005490393755733424,positive_test_date,Positive SARS-CoV-2 test,-6.24,"(-6.99, -5.49)"
postest,13,0,0.9926623872079938,3.125068545521236e-4,0.9920498850281497,0.9932748893878379,4.683736231534189e-4,14,1,ChAdOx1,Unadjusted,-0.006485834781715272,3.9355975610783414e-4,-0.007257197729450994,-0.005714471833979549,positive_test_date,Positive SARS-CoV-2 test,-6.49,"(-7.26, -5.71)"
postest,14,0,0.9922345986415422,3.2097939556026704e-4,0.9916054905864646,0.9928637066966197,4.3113651452723846e-4,15,1,ChAdOx1,Unadjusted,-0.006672248721769303,4.0363296441890456e-4,-0.007463354795003493,-0.0058811426485351126,positive_test_date,Positive SARS-CoV-2 test,-6.67,"(-7.46, -5.88)"
