outcome,tstop,model,survival,survivalse,survival.ll,survival.ul,haz,lead_tstop,vax1_az,vax1_az_descr,model_name,outcome_var,outcome_descr
postest,0,0,1,0,1,1,0,1,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,1,0,0.9995440946059749,2.4543177687984923e-5,0.9994959908616403,0.9995921983503095,4.561133385564037e-4,2,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,2,0,0.9989316649517672,5.0145370534684765e-5,0.9988333818315278,0.9990299480720066,6.13084634009759e-4,3,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,3,0,0.9981217974523036,7.524209599382482e-5,0.9979743256540343,0.9982692692505728,8.113914569653081e-4,4,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,4,0,0.9970837988428385,9.82964927005466e-5,0.9968911412573388,0.9972764564283382,0.0010410344754069006,5,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,5,0,0.9958142040490353,1.1892796239177323e-4,0.9955811095259927,0.996047298572078,0.00127493139648032,6,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,6,0,0.9943550559608676,1.385815327873108e-4,0.9940834411476821,0.9946266707740531,0.0014674316577570061,7,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,7,0,0.9928033697550167,1.5905674213817524e-4,0.9924916242689276,0.9931151152411059,0.0015629340644097343,8,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,8,0,0.9912904538917469,1.7977271145642603e-4,0.9909381058518891,0.9916428019316046,0.0015262084461019785,9,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,9,0,0.9899163480168928,1.9836578537789812e-4,0.9895275582217871,0.9903051378119985,0.0013881030226512063,10,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,10,0,0.9887278414983879,2.132404062540285e-4,0.9883098979820812,0.9891457850146945,0.0012020562875055053,11,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,11,0,0.9877271026883478,2.2437129669424904e-4,0.9872873430276625,0.9881668623490332,0.0010131733829276059,12,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,12,0,0.9868885558592678,2.326786943191582e-4,0.9864325139984325,0.9873445977201032,8.496874587322713e-4,13,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,13,0,0.9861765524262786,2.3922530695069316e-4,0.9857076794404647,0.9866454254120924,7.219837373313516e-4,14,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,14,0,0.9855623499197729,2.4472800737005524e-4,0.9850826918393193,0.9860420080002265,6.232000507686565e-4,15,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,15,0,0.9850247473603462,2.4960018988090185e-4,0.9845355399776452,0.9855139547430471,5.457756882427131e-4,16,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,16,0,0.9845479002375058,2.540658760782867e-4,0.9840499402706918,0.9850458602043198,4.8433105461432604e-4,17,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,17,0,0.9841198303906155,2.582383734212954e-4,0.9836136924792835,0.9846259683019474,4.349773611618594e-4,18,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,18,0,0.983731395247636,2.621696379281273e-4,0.983217552199457,0.984245238295815,3.9485894712316326e-4,19,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,19,0,0.9833755652980253,2.658797312003919e-4,0.9828544506006534,0.9838966799953972,3.6184542525505856e-4,20,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,20,0,0.983046911246925,2.693737917110345e-4,0.9825189483167924,0.9835748741770576,3.343218389073622e-4,21,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,21,0,0.9827412355382877,2.726515085646384e-4,0.9822068484011706,0.9832756226754049,3.1104394278299934e-4,22,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,22,0,0.9824553042535402,2.757122082827749e-4,0.9819149182552079,0.9829956902518725,2.910374482274979e-4,23,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,23,0,0.9821866492500878,2.7855740463486183e-4,0.9816406867693765,0.9827326117307991,2.735274437476147e-4,24,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
postest,24,0,0.9819334195319626,2.811918733439947e-4,0.981382293587463,0.9824845454764621,2.578888884807985e-4,25,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test
