outcome,model_name,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n
emergency,0 unadjusted,vax1_az:strata(timesincevax)1-7,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,1.38699127762076,0.056744256953678796,0.0567194875863018,5.767627081424637,8.03954582943744e-9,1.2410635328020316,1.5500776175839297,NA
emergency,0 unadjusted,vax1_az:strata(timesincevax)8-14,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.8940683495883435,0.066926545423896,0.06692822980879817,-1.6730317441938418,0.09432104700099103,0.7841539030180209,1.0193894472234157,NA
emergency,0 unadjusted,vax1_az:strata(timesincevax)15-21,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,1.0695858525040194,0.06618208214415293,0.06618631671884742,1.0163961850360288,0.30944076158448175,0.9394588347410666,1.2177371201070908,NA
emergency,0 unadjusted,vax1_az:strata(timesincevax)22-28,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,1.0103931930341714,0.07096672951359032,0.07096294789204266,0.14570357399940156,0.8841553998390786,0.879197897762281,1.1611656569336104,NA
emergency,0 unadjusted,vax1_az:strata(timesincevax)29-35,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,1.095573479961234,0.06976769394349555,0.06975686149454642,1.3085157532639653,0.19069843492107513,0.9555740839925407,1.256083929128134,NA
emergency,0 unadjusted,vax1_az:strata(timesincevax)36+,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 36+,1.0913341933802905,0.033896677590605814,0.03390114306222071,2.578113020850554,0.009934149996753612,1.0211770768994333,1.166311258432509,NA
emergency,1 adjusting for time,"ns(calendar_day, 4)1","ns(calendar_day, 4)","ns(calendar_day, 4)",nmatrix.4,continuous,NA,NA,NA,NA,"ns(calendar_day, 4)1",1.1437617326680585,0.07487707305602866,0.07711096905892575,1.7419388870961923,0.08151913847581056,0.9833284085894285,1.3303702910326995,NA
emergency,1 adjusting for time,"ns(calendar_day, 4)2","ns(calendar_day, 4)","ns(calendar_day, 4)",nmatrix.4,continuous,NA,NA,NA,NA,"ns(calendar_day, 4)2",1.2119699726632136,0.06996085629038705,0.07154928053659938,2.6869188742090166,0.007211446532088759,1.0533895411290306,1.3944235795837918,NA
emergency,1 adjusting for time,"ns(calendar_day, 4)3","ns(calendar_day, 4)","ns(calendar_day, 4)",nmatrix.4,continuous,NA,NA,NA,NA,"ns(calendar_day, 4)3",1.121878966434637,0.15607389095582844,0.16037640847137088,0.7170938002980024,0.47331622090477354,0.8192818981675047,1.536238525644957,NA
emergency,1 adjusting for time,"ns(calendar_day, 4)4","ns(calendar_day, 4)","ns(calendar_day, 4)",nmatrix.4,continuous,NA,NA,NA,NA,"ns(calendar_day, 4)4",1.3806135671232285,0.07057746222760301,0.07117934111290442,4.531202581708067,5.86488634304428e-6,1.2008373068578488,1.5873039676892402,NA
emergency,1 adjusting for time,vax1_az:strata(timesincevax)1-7,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,1.2904099876731596,0.061538923505724694,0.06216355634317094,4.101438250632153,4.105900819611929e-5,1.1423889685756006,1.4576103079521707,NA
emergency,1 adjusting for time,vax1_az:strata(timesincevax)8-14,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.819827721183834,0.06923296324197657,0.06890928508011057,-2.882935974207849,0.003939875117485514,0.7162537510693556,0.9383790191925938,NA
emergency,1 adjusting for time,vax1_az:strata(timesincevax)15-21,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,0.9771345151262542,0.06790772412571369,0.0686157770257137,-0.33710839709826335,0.7360351875858053,0.8541782303278503,1.1177899725734664,NA
