outcome,model_name,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n
covidadmitted,0 unadjusted,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,1.343666162390632,1.121369291074744,1.0924357049023588,0.27040659586898863,0.7868474662838115,0.1579095596903265,11.43337211182262,NA
covidadmitted,0 unadjusted,timesincevax1-7,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,TRUE,1-7,1,NA,NA,NA,NA,NA,NA,NA
covidadmitted,0 unadjusted,timesincevax8-14,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,8-14,28.8683289678249,0.5854881238337828,0.5493297448623604,6.121542010391837,9.26740770572562e-10,9.836289879178494,84.72507699866205,NA
covidadmitted,0 unadjusted,timesincevax15-21,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,15-21,13.690390262493914,0.6218029986017315,0.5910789762302376,4.426978883099917,9.556208365027988e-6,4.298218526040723,43.605690218834724,NA
covidadmitted,0 unadjusted,timesincevax22-28,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,22-28,7.491764952575582,0.7222404738391306,0.7013143094262584,2.871472011765918,0.004085649599964628,1.8950659170462627,29.617197797594947,NA
covidadmitted,0 unadjusted,timesincevax29-35,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,29-35,3.0478789777550763,0.9605254691873705,0.9259191401152265,1.2036104269715133,0.22874018745799451,0.49642531208367396,18.712918211300927,NA
covidadmitted,0 unadjusted,timesincevax36+,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,36+,5.717299562918292,0.7725134788286622,0.7562946951395182,2.305313789367248,0.021149005811933498,1.2984694508583983,25.173880117500254,NA
covidadmitted,0 unadjusted,vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.10713334181651853,1.3295710368948672,1.2943693330889918,-1.7256906340887725,0.08440308390797938,0.008475307775252948,1.3542343514991049,NA
covidadmitted,0 unadjusted,vax1_az:timesincevax15-21,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,1.9454610280169544,1.1845380364214064,1.165728572849571,0.5708867371718864,0.5680764218700227,0.19803984381316397,19.111399699463924,NA
covidadmitted,0 unadjusted,vax1_az:timesincevax22-28,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2.7710471078487635,1.2697149820994202,1.2408007294946846,0.8214254245786259,0.4114039864996726,0.24348511303591533,31.536638844874044,NA
covidadmitted,0 unadjusted,vax1_az:timesincevax29-35,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,1.114700792995035e-6,1283.1115617381297,1.318737030431692,-10.393978647635587,2.6410114845797436e-25,8.407121321623353e-8,1.4779825464250956e-5,NA
covidadmitted,0 unadjusted,vax1_az:timesincevax36+,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,2.59756957017433,1.203404811454246,1.1765072509989045,0.8113645082381202,0.41715637476030243,0.2588942472701532,26.062254156056433,NA
covidadmitted,1 adjusting for time,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,1.1577257641364678,1.1124199533933115,1.1260614724829645,0.13006175608417322,0.8965175672739439,0.12737976258479544,10.522306822899939,NA
covidadmitted,1 adjusting for time,timesincevax1-7,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,TRUE,1-7,1,NA,NA,NA,NA,NA,NA,NA
covidadmitted,1 adjusting for time,timesincevax8-14,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,8-14,26.610541450131866,0.5659370514783272,0.5210222654916387,6.297825735537363,3.0184957885867525e-10,9.584263712381828,73.8837053653241,NA
