outcome,model_name,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n
covidadmitted,0 unadjusted,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.9161716544503594,0.7767922101210015,0.7786925043407574,-0.11243402972055247,0.9104792745652802,0.19913728858931398,4.215034292996548,NA
covidadmitted,0 unadjusted,timesincevax1-7,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,TRUE,1-7,1,NA,NA,NA,NA,NA,NA,NA
covidadmitted,0 unadjusted,timesincevax8-14,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,8-14,8.897656212076171,0.35464448510270447,0.35804525620523964,6.104781049928277,1.0294169995944226e-9,4.410694182641582,17.94916690888859,NA
covidadmitted,0 unadjusted,timesincevax15-21,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,15-21,3.2633136302264343,0.42582478953817604,0.44170415243922,2.6776817098058685,0.007413362876953884,1.3730285212727928,7.756004834735579,NA
covidadmitted,0 unadjusted,timesincevax22-28,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,22-28,1.5350676823809808,0.6016221679894458,0.6112172340955451,0.701181918500106,0.48318949247066023,0.4632959201173283,5.086236867559196,NA
covidadmitted,0 unadjusted,timesincevax29-35,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,29-35,0.8006838412658757,0.8392769279672484,0.8319387463423444,-0.26719408831957636,0.7893197275808423,0.15678825236077734,4.088919954213714,NA
covidadmitted,0 unadjusted,timesincevax36+,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,36+,1.386514849737336,0.6460978794640857,0.685738629614627,0.4765566385438655,0.6336778667322834,0.36159527386841306,5.316505959759115,NA
covidadmitted,0 unadjusted,vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.3171525599454951,0.9291907824177522,0.9302987153938982,-1.2344124959155294,0.2170492350148193,0.05121492240120743,1.9639929451032323,NA
covidadmitted,0 unadjusted,vax1_az:timesincevax15-21,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,3.315337021963811,0.8780688972613467,0.88970237280018,1.3471463276519473,0.17793311002636458,0.5797111461203591,18.96023501145833,NA
covidadmitted,0 unadjusted,vax1_az:timesincevax22-28,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,3.477002486138762,1.0698953619299227,1.0728718189265667,1.161527916071448,0.24542727730903607,0.42459497813200137,28.473125946526473,NA
