outcome,tstop,model,survival,survivalse,survival.ll,survival.ul,haz,lead_tstop,vax1_az,vax1_az_descr,model_name,outcome_var,outcome_descr,inc_format,inc_CI
postest,0,0,1,0,1,1,0,1,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,0.0,"(0.0, 0.0)"
postest,1,0,0.999529515056819,2.6143056087879147e-5,0.9994782756084409,0.999580754505197,4.707064034565117e-4,2,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,0.5,"(0.4, 0.5)"
postest,2,0,0.9988872496928807,5.383088011248648e-5,0.9987817431066041,0.9989927562791573,6.429808410666679e-4,3,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,1.1,"(1.0, 1.2)"
postest,3,0,0.9980247820823203,8.134529309738154e-5,0.9978653482375376,0.9981842159271029,8.641745436029407e-4,4,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,2.0,"(1.8, 2.1)"
postest,4,0,0.9969038760376808,1.069017903766389e-4,0.9966943523786598,0.9971133996967019,0.0011243872870618352,5,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,3.1,"(2.9, 3.3)"
postest,5,0,0.9955166557027434,1.2995760604457522e-4,0.995261943475379,0.9957713679301078,0.0013934677305405636,6,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,4.5,"(4.2, 4.7)"
postest,6,0,0.9939080627520266,1.5206220063197906e-4,0.993610026315378,0.9942060991886752,0.0016184524615514022,7,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,6.1,"(5.8, 6.4)"
postest,7,0,0.9921882759063253,1.751935020761601e-4,0.9918449029519306,0.99253164886072,0.001733327118918362,8,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,7.8,"(7.5, 8.2)"
postest,8,0,0.990509064756029,1.985547827664202e-4,0.9901199045328486,0.9908982249792093,0.0016953011436699461,9,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,9.5,"(9.1, 9.9)"
postest,9,0,0.9889863865981711,2.1935026363248647e-4,0.988556467981452,0.9894163052148901,0.0015396351036695947,10,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,11.0,"(10.6, 11.4)"
postest,10,0,0.9876739493660918,2.3579705338849801e-4,0.9872117956337897,0.9881361030983938,0.0013288162889399356,11,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,12.3,"(11.9, 12.8)"
postest,11,0,0.986573451363793,2.4797512505187174e-4,0.9860874290496295,0.9870594736779565,0.001115474981388811,12,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,13.4,"(12.9, 13.9)"
postest,12,0,0.9856546982234501,2.570192062272493e-4,0.9851509498359096,0.9861584466109906,9.321247511921974e-4,13,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,14.3,"(13.8, 14.8)"
postest,13,0,0.9848763499400762,2.6416996459894366e-4,0.984358586323665,0.9853941135564874,7.903005117558382e-4,14,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,15.1,"(14.6, 15.6)"
postest,14,0,0.9842054812255898,2.7023322312226886e-4,0.983675833840844,0.9847351286103356,6.81634808262804e-4,15,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,15.8,"(15.3, 16.3)"
