outcome,tstop,model,survival,survivalse,survival.ll,survival.ul,haz,lead_tstop,vax1_az,vax1_az_descr,model_name,diff,diff.se,diff.ll,diff.ul,outcome_var,outcome_descr,diff_format,diff_CI
postest,0,0,1,0,1,1,0,1,1,ChAdOx1,Unadjusted,0,0,0,0,positive_test_date,Positive SARS-CoV-2 test,0.00,"(0.00, 0.00)"
postest,1,0,0.9994050699062687,3.7258694975193484e-5,0.9993320442060063,0.999478095606531,5.952842462437642e-4,2,1,ChAdOx1,Unadjusted,-5.009299345992702e-4,4.6115588144349705e-5,-5.913148264880779e-4,-4.1054504271046245e-4,positive_test_date,Positive SARS-CoV-2 test,-0.50,"(-0.59, -0.41)"
postest,2,0,0.9988104937543537,7.451738995037256e-5,0.998664442353829,0.9989565451548784,5.952842462437802e-4,3,1,ChAdOx1,Unadjusted,-0.001001012901813314,9.223117628867534e-5,-0.0011817826855908824,-8.202431180357458e-4,positive_test_date,Positive SARS-CoV-2 test,-1.00,"(-1.18, -0.82)"
postest,3,0,0.9982162713336846,1.1177608492539309e-4,0.997997194232898,0.9984353484344712,5.952842462437192e-4,4,1,ChAdOx1,Unadjusted,-0.001500250007099746,1.3834676443284777e-4,-0.0017714046827657746,-0.0012290953314337174,positive_test_date,Positive SARS-CoV-2 test,-1.50,"(-1.77, -1.23)"
postest,4,0,0.9976224024338158,1.4903477990060702e-4,0.9973302996327668,0.9979145052348649,5.952842462438452e-4,5,1,ChAdOx1,Unadjusted,-0.001998642354599567,1.8446235257724578e-4,-0.002360181922154498,-0.001637102787044636,positive_test_date,Positive SARS-CoV-2 test,-2.00,"(-2.36, -1.64)"
postest,5,0,0.9970288868444275,1.8629347487614863e-4,0.9966637583431154,0.9973940153457396,5.9528424624368e-4,6,1,ChAdOx1,Unadjusted,-0.0024961910471382742,2.3057794072197703e-4,-0.002948115506582761,-0.002044266587693788,positive_test_date,Positive SARS-CoV-2 test,-2.50,"(-2.95, -2.04)"
postest,6,0,0.9964357243553242,2.2355216985118305e-4,0.9959975701537501,0.9968738785568984,5.952842462437842e-4,7,1,ChAdOx1,Unadjusted,-0.0029928971862270837,2.7669352886611876e-4,-0.0035352065375599704,-0.0024505878348941973,positive_test_date,Positive SARS-CoV-2 test,-2.99,"(-3.54, -2.45)"
postest,7,0,0.9958429147564363,2.6081086482604795e-4,0.9953317348546005,0.9963540946582721,5.952842462437526e-4,8,1,ChAdOx1,Unadjusted,-0.0034887618720655933,3.228091170101984e-4,-0.004121456115286758,-0.0028560676288444282,positive_test_date,Positive SARS-CoV-2 test,-3.49,"(-4.12, -2.86)"
postest,8,0,0.9952016221310628,2.6436262837740125e-4,0.9946834809005848,0.9957197633615408,6.443846263034285e-4,9,1,ChAdOx1,Unadjusted,-0.004058960967178282,3.2750774039987454e-4,-0.00470086434302013,-0.0034170575913364345,positive_test_date,Positive SARS-CoV-2 test,-4.06,"(-4.70, -3.42)"
postest,9,0,0.9945607424786846,2.734575878850272e-4,0.9940247754551308,0.9950967095022385,6.443846263033752e-4,10,1,ChAdOx1,Unadjusted,-0.004628094014732409,3.3913804788394866e-4,-0.005292792374372169,-0.003963395655092649,positive_test_date,Positive SARS-CoV-2 test,-4.63,"(-5.29, -3.96)"
