outcome,tstop,model,survival,survivalse,survival.ll,survival.ul,haz,lead_tstop,vax1_az,vax1_az_descr,model_name,outcome_var,outcome_descr,inc_format,inc_CI
postest,0,0,1,0,1,1,0,1,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,0.0,"(0.0, 0.0)"
postest,1,0,0.9989041399716694,2.7174199503342077e-5,0.9988508795193342,0.9989574004240046,0.0010970622550044694,2,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,1.1,"(1.0, 1.1)"
postest,2,0,0.9978094808525404,5.4348399006707925e-5,0.9977029599478698,0.997916001757211,0.0010970622550045249,3,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,2.2,"(2.1, 2.3)"
postest,3,0,0.9967160213265849,8.152259850997912e-5,0.9965562399695792,0.9968758026835906,0.0010970622550043633,4,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,3.3,"(3.1, 3.4)"
postest,4,0,0.9956237600792163,1.0869679801357723e-4,0.9954107182698748,0.9958368018885577,0.0010970622550045448,5,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,4.4,"(4.2, 4.6)"
postest,5,0,0.9945326957972892,1.3587099751676305e-4,0.9942663935356129,0.9947989980589655,0.001097062255004489,6,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,5.5,"(5.2, 5.7)"
postest,6,0,0.9934428271690972,1.6304519701995426e-4,0.9931232644550858,0.9937623898831085,0.0010970622550043713,7,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,6.6,"(6.2, 6.9)"
postest,7,0,0.9923541528843707,1.9021939652374934e-4,0.9919813297180232,0.9927269760507181,0.0010970622550045689,8,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,7.6,"(7.3, 8.0)"
postest,8,0,0.9911426611638845,1.9332284070817918e-4,0.9907637553587075,0.9915215669690615,0.0012223182070112313,9,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,8.9,"(8.5, 9.2)"
postest,9,0,0.9899326484639522,2.005880433897753e-4,0.989539503123179,0.9903257938047255,0.0012223182070111543,10,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,10.1,"(9.7, 10.5)"
postest,10,0,0.988724112978947,2.115867341027611e-4,0.9883094106004991,0.9891388153573949,0.0012223182070112482,11,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,11.3,"(10.9, 11.7)"
postest,11,0,0.9875170529054467,2.257739343500612e-4,0.9870745441254727,0.9879595616854207,0.0012223182070111845,12,0,BNT162b2,Unadjusted,positive_test_date,Positive SARS-CoV-2 test,12.5,"(12.0, 12.9)"
