model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_name,outcome,term_left,term_right,term_midpoint
0,1-7,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.2972961789314606,1.1212665568576026,1.092301743828477,0.2721740403795828,0.7854882013926257,-1.84357589922265,2.438168257085571,NA,Unadjusted,covidadmitted,0,6,3.5
0,8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,-2.2338878946420024,1.32954679530397,1.2940795891737409,-1.726236866210309,0.08430480816269206,-4.770237282550923,0.3024614932669185,NA,Unadjusted,covidadmitted,7,13,10.5
0,15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,0.6638433585684613,1.1848097913075257,1.1664699103901277,0.5691045715413592,0.5692851761470571,-1.6223956548458525,2.9500823719827753,NA,Unadjusted,covidadmitted,14,20,17.5
0,22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,0.9851722937311896,1.270456084610987,1.2428483126060088,0.7926729945551254,0.4279683682050377,-1.4507656372229656,3.4211102246853446,NA,Unadjusted,covidadmitted,21,27,24.5
0,29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,-13.681807933581316,1238.0611437548448,1.3194163850654084,-10.369590743640082,3.4098195116121866e-25,-16.267816528921546,-11.095799338241084,NA,Unadjusted,covidadmitted,28,34,31.5
0,36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,0.8720801742985088,1.2351650646042318,1.2061430483251232,0.7230321274988888,0.46966014621930574,-1.491916760622086,3.236077109219104,NA,Unadjusted,covidadmitted,35,41,38.5
1,1-7,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.2099026999469574,1.11124015832646,1.1135213600081673,0.1885035235834343,0.8504819536109791,-1.9725590616851099,2.3923644615790245,NA,Adjusting for time,covidadmitted,0,6,3.5
1,8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,-2.0554962435953104,1.3214147644588654,1.313914113651955,-1.5644068529579662,0.11772205236750753,-4.630720585132009,0.5197280979413881,NA,Adjusting for time,covidadmitted,7,13,10.5
1,15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,0.7795416712688368,1.1765843125191544,1.184364372074524,0.6581941247552029,0.5104133996086389,-1.5417698425696258,3.100853185107299,NA,Adjusting for time,covidadmitted,14,20,17.5
1,22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,1.0614984877316485,1.2643700871625132,1.2697708417103213,0.8359764241411153,0.40316816626254726,-1.4272066306396904,3.550203606102987,NA,Adjusting for time,covidadmitted,21,27,24.5
