term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_name,outcome
vax1_az:strata(timesincevax)1-7,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,NA,0,0,NA,NA,NA,NA,NA,0 unadjusted,coviddeath
vax1_az:strata(timesincevax)8-14,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,NA,0,0,NA,NA,NA,NA,NA,0 unadjusted,coviddeath
vax1_az:strata(timesincevax)15-21,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2.485068496893481,1.5319763247850595,1.0214510771521885,0.8911833798725596,0.3728307992135794,0.3356430281924083,18.399206643768768,NA,0 unadjusted,coviddeath
vax1_az:strata(timesincevax)22-28,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,660256905.8231725,9506.733569297892,1.0000287554697116,20.307555615192953,1.1025671582810547e-91,93000853.10693596,4687475083.544986,NA,0 unadjusted,coviddeath
vax1_az:strata(timesincevax)29-35,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,NA,0,0,NA,NA,NA,NA,NA,0 unadjusted,coviddeath
vax1_az:strata(timesincevax)36+,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 36+,NA,0,0,NA,NA,NA,NA,NA,0 unadjusted,coviddeath
vax1_az:strata(timesincevax)1-7,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,NA,0,0,NA,NA,NA,NA,NA,1 adjusting for time,coviddeath
vax1_az:strata(timesincevax)8-14,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,NA,0,0,NA,NA,NA,NA,NA,1 adjusting for time,coviddeath
vax1_az:strata(timesincevax)15-21,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,5.073619507494852,1.6944189666448024,0.9115790995722524,1.7815837050878365,0.07481714364835686,0.8499245190788768,30.28694234486883,NA,1 adjusting for time,coviddeath
vax1_az:strata(timesincevax)22-28,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,1541382293.2203143,12319.665942307869,0.9998144002893712,21.159872710028374,2.2382596176185107e-99,217203493.02995428,10938403156.920975,NA,1 adjusting for time,coviddeath
vax1_az:strata(timesincevax)29-35,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,NA,0,0,NA,NA,NA,NA,NA,1 adjusting for time,coviddeath
vax1_az:strata(timesincevax)36+,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 36+,NA,0,0,NA,NA,NA,NA,NA,1 adjusting for time,coviddeath
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2",67375649484103215e12,54.30176193627184,18.097592770116975,3.6678956159002545,2.4455497939292724e-4,26534082206046.484,17108103111138577e28,NA,2 adjusting for time + demographics,coviddeath
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2²",0.5348202190322661,0.5122750311820791,0.1677958951722824,-3.7296778154758785,1.9172476590014232e-4,0.3849281678775941,0.7430806331031573,NA,2 adjusting for time + demographics,coviddeath
sexF,sex,sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,F,1,NA,NA,NA,NA,NA,NA,NA,2 adjusting for time + demographics,coviddeath
sexM,sex,sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,M,11.61660496979678,1.5010586454496484,0.7890743238332423,3.1079905445988905,0.0018836409446949499,2.4741039291108087,54.543186095180154,NA,2 adjusting for time + demographics,coviddeath
imd_Q51 most deprived,imd_Q5,imd_Q5,factor,categorical,5,contr.treatment,treatment,TRUE,1 most deprived,1,NA,NA,NA,NA,NA,NA,NA,2 adjusting for time + demographics,coviddeath
imd_Q52,imd_Q5,imd_Q5,factor,categorical,5,contr.treatment,treatment,FALSE,2,399540989.7899897,25709.486015681217,0.7065793266740842,28.030577987418667,6.890984004800966e-173,100027618.23128712,1595889268.8342936,NA,2 adjusting for time + demographics,coviddeath
imd_Q53,imd_Q5,imd_Q5,factor,categorical,5,contr.treatment,treatment,FALSE,3,1645580944.2145553,25709.485986204523,0.8255683103824258,25.70515249860452,1.0236917422581452e-145,326282836.9750821,8299353619.292177,NA,2 adjusting for time + demographics,coviddeath
imd_Q54,imd_Q5,imd_Q5,factor,categorical,5,contr.treatment,treatment,FALSE,4,0.7748069312163054,41961.88097756016,0.3308938356040501,-0.7710672554840414,0.4406670681068807,0.40507566499962194,1.4820089986432263,NA,2 adjusting for time + demographics,coviddeath
imd_Q55 least deprived,imd_Q5,imd_Q5,factor,categorical,5,contr.treatment,treatment,FALSE,5 least deprived,NA,0,0,NA,NA,NA,NA,NA,2 adjusting for time + demographics,coviddeath
ethnicity_combinedWhite,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,TRUE,White,1,NA,NA,NA,NA,NA,NA,NA,2 adjusting for time + demographics,coviddeath
ethnicity_combinedBlack,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Black,2.009382152528627e-9,75158.06237910355,0.857949851890647,-23.34103619786221,1.6996021852295223e-120,3.739162181775673e-10,1.0798185365105434e-8,NA,2 adjusting for time + demographics,coviddeath
ethnicity_combinedSouth Asian,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,South Asian,1.968381359071958e-9,53945.75705225618,0.8926253914694664,-22.457409870531045,1.0832125708380419e-111,3.4221979972797687e-10,1.1321744615074128e-8,NA,2 adjusting for time + demographics,coviddeath
ethnicity_combinedMixed,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Mixed,21.219982789344808,1.3957908264070897,0.8650708557396902,3.5314371092933534,4.133081328349555e-4,3.8939949138639993,115.6364298209293,NA,2 adjusting for time + demographics,coviddeath
ethnicity_combinedOther,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Other,5.268715616214458e-9,121044.23387764205,0.8687458848602269,-21.941374977853144,1.046885880083932e-106,9.599020516257987e-10,2.8918955009550916e-8,NA,2 adjusting for time + demographics,coviddeath
vax1_az:strata(timesincevax)1-7,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,NA,0,0,NA,NA,NA,NA,NA,2 adjusting for time + demographics,coviddeath
vax1_az:strata(timesincevax)8-14,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,NA,0,0,NA,NA,NA,NA,NA,2 adjusting for time + demographics,coviddeath
vax1_az:strata(timesincevax)15-21,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,6.410459407957845,1.628879277384876,1.863603195656929,0.9969562958479931,0.31878572410666645,0.16618324630093884,247.28118348740605,NA,2 adjusting for time + demographics,coviddeath
vax1_az:strata(timesincevax)22-28,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,7172702256.134473,33696.59445055627,0.819723266742366,27.68440182799926,1.0760342705804857e-168,1438576937.6340683,35762882268.75727,NA,2 adjusting for time + demographics,coviddeath
vax1_az:strata(timesincevax)29-35,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,NA,0,0,NA,NA,NA,NA,NA,2 adjusting for time + demographics,coviddeath
vax1_az:strata(timesincevax)36+,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 36+,NA,0,0,NA,NA,NA,NA,NA,2 adjusting for time + demographics,coviddeath
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2",11030554789990895e11,56.00332951842879,18.779981515185067,3.315651908271256,9.142963467405437e-4,114037610549.55714,1066956229516189e28,NA,3 adjusting for time + demographics + clinical,coviddeath
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2²",0.5537403345906524,0.5308997296166221,0.1749953007334885,-3.3775730534565485,7.312852551365365e-4,0.39296139670927394,0.7803014767362039,NA,3 adjusting for time + demographics + clinical,coviddeath
sexF,sex,sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,F,1,NA,NA,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,coviddeath
sexM,sex,sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,M,4.513165267156211,1.5458086001906413,0.9497548015987131,1.586724002743175,0.11257516759901963,0.7015336128827301,29.034475832122478,NA,3 adjusting for time + demographics + clinical,coviddeath
imd_Q51 most deprived,imd_Q5,imd_Q5,factor,categorical,5,contr.treatment,treatment,TRUE,1 most deprived,1,NA,NA,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,coviddeath
imd_Q52,imd_Q5,imd_Q5,factor,categorical,5,contr.treatment,treatment,FALSE,2,248638843.4275743,31415.571760497696,0.7342718883364424,26.32745755436124,9.301421850653753e-153,58959747.16198276,1048533574.799048,NA,3 adjusting for time + demographics + clinical,coviddeath
imd_Q53,imd_Q5,imd_Q5,factor,categorical,5,contr.treatment,treatment,FALSE,3,3433699498.1919312,31415.57169150106,0.8630581663573681,25.440816092914726,8.921118052250598e-143,632595126.6749532,18637975138.78373,NA,3 adjusting for time + demographics + clinical,coviddeath
imd_Q54,imd_Q5,imd_Q5,factor,categorical,5,contr.treatment,treatment,FALSE,4,0.5295719155377769,54782.45437450295,0.8381615957398065,-0.7584292916427998,0.4481940278730126,0.10244257859446285,2.73759619851573,NA,3 adjusting for time + demographics + clinical,coviddeath
