model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_name,outcome
0,vax1_az:strata(timesincevax_pw)1-7,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,0.3644981531633712,0.05422870860724432,0.054228001876536425,6.7215855379153036,1.79757658638424e-11,0.25821322253178935,0.47078308379495304,NA,Unadjusted,emergency
0,vax1_az:strata(timesincevax_pw)8-14,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.00650377952474988,0.06031505433547732,0.060314789993994235,0.10783059222120288,0.9141300752857507,-0.11171103659857562,0.12471859564807539,NA,Unadjusted,emergency
0,vax1_az:strata(timesincevax_pw)15-21,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,0.19287619572290732,0.058004600884279285,0.058004310665337545,3.3252045151562686,8.835369854985067e-4,0.07918983587077322,0.3065625555750414,NA,Unadjusted,emergency
0,vax1_az:strata(timesincevax_pw)22-28,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,0.15947641404163293,0.060471053169561015,0.06047025952981675,2.637270209878926,0.008357622843666201,0.04095688322740214,0.2779959448558637,NA,Unadjusted,emergency
0,vax1_az:strata(timesincevax_pw)29-35,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,0.14992087595223194,0.060810142944706366,0.06079505959824743,2.4660042599342034,0.013662970930934756,0.030764748701700873,0.269077003202763,NA,Unadjusted,emergency
0,vax1_az:strata(timesincevax_pw)36+,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 36+,0.14820080415012532,0.027850826372971534,0.0278593713007574,5.319603323069113,1.039937411093122e-7,0.09359743976871203,0.2028041685315386,NA,Unadjusted,emergency
1,"ns(calendar_day, 3)1","ns(calendar_day, 3)","ns(calendar_day, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(calendar_day, 3)1",0.22989137687407374,0.11177403549737437,0.112027330928497,2.05210081297755,0.040159865962857456,0.010321842970069578,0.4494609107780779,NA,Adjusting for time,emergency
1,"ns(calendar_day, 3)2","ns(calendar_day, 3)","ns(calendar_day, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(calendar_day, 3)2",0.23644371082337573,0.27620360516557313,0.28389727391719277,0.8328495288487402,0.4049295973717031,-0.31998472136342443,0.792872143010176,NA,Adjusting for time,emergency
1,"ns(calendar_day, 3)3","ns(calendar_day, 3)","ns(calendar_day, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(calendar_day, 3)3",0.44162267165068353,0.1125728268340833,0.11234274927669824,3.931029590196111,8.458285991235572e-5,0.2214349291441418,0.6618104141572252,NA,Adjusting for time,emergency
1,vax1_az:strata(timesincevax_pw)1-7,vax1_az:strata(timesincevax_pw),vax1_az * strata(timesincevax_pw),NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,0.2496584141919714,0.05873386319029724,0.05886263881319846,4.2413731226740685,2.2215646164353578e-5,0.13428976208311294,0.36502706630082987,NA,Adjusting for time,emergency
