outcome,model_name,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n
postest,0 unadjusted,vax1_az:strata(timesincevax)1-7,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,0.4651947634894898,0.061827389339372985,0.06181464211725069,-12.380547531453576,3.330627949935838e-35,0.4121146930684155,0.5251115080774773,NA
postest,0 unadjusted,vax1_az:strata(timesincevax)8-14,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.5435416490706023,0.06489106224948045,0.06491522918141877,-9.391462555395876,5.917280048536904e-21,0.4786046176181952,0.6172893311072769,NA
postest,0 unadjusted,vax1_az:strata(timesincevax)15-21,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,0.870074923511966,0.09389313675908782,0.0938720947234249,-1.4826126174377652,0.13817736290004393,0.7238566692289065,1.0458291049950337,NA
postest,0 unadjusted,vax1_az:strata(timesincevax)22-28,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,0.882854138760272,0.1293850160255074,0.12931603470690664,-0.96349443881896,0.3352994536405353,0.6851962050939499,1.1375302789647979,NA
postest,0 unadjusted,vax1_az:strata(timesincevax)29-35,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,1.1434338937416286,0.14289788161481115,0.14294238044819502,0.9376919702305817,0.3484027315683378,0.8640488303286764,1.5131564599882663,NA
postest,0 unadjusted,vax1_az:strata(timesincevax)36+,vax1_az:strata(timesincevax),vax1_az * strata(timesincevax),NA,interaction,NA,NA,NA,NA,vax1_az * 36+,1.1500441250758267,0.08922959255462651,0.08958517280490468,1.5605295708327624,0.11863478756009707,0.9648492562587656,1.370785623808069,NA
postest,1 adjusting for time,"ns(calendar_day, 4)1","ns(calendar_day, 4)","ns(calendar_day, 4)",nmatrix.4,continuous,NA,NA,NA,NA,"ns(calendar_day, 4)1",0.04598375553459743,0.11539964729828601,0.11575622095580178,-26.60303748677047,6.26042431368165e-156,0.036649880564279036,0.05769475208403631,NA
postest,1 adjusting for time,"ns(calendar_day, 4)2","ns(calendar_day, 4)","ns(calendar_day, 4)",nmatrix.4,continuous,NA,NA,NA,NA,"ns(calendar_day, 4)2",0.04572301458680448,0.1646380690800243,0.16529616762589508,-18.664398277927866,9.645545550341443e-78,0.03307002348878122,0.06321719316632343,NA
postest,1 adjusting for time,"ns(calendar_day, 4)3","ns(calendar_day, 4)","ns(calendar_day, 4)",nmatrix.4,continuous,NA,NA,NA,NA,"ns(calendar_day, 4)3",0.008662515316220793,0.1904904298480426,0.187827049975678,-25.28256791008699,4.967482582443494e-141,0.005994670828782264,0.01251764671439066,NA
postest,1 adjusting for time,"ns(calendar_day, 4)4","ns(calendar_day, 4)","ns(calendar_day, 4)",nmatrix.4,continuous,NA,NA,NA,NA,"ns(calendar_day, 4)4",0.04867210921723077,0.22400709148918962,0.22516049780924566,-13.424420128635427,4.3497576978368147e-41,0.03130568447169897,0.07567233413457693,NA
