variable,var_type,var_class,var_label,row_type,label,stat_1,stat_2
N,dichotomous,numeric,Total N,label,Total N,"253,134","64,207"
ageband,categorical,factor,Age,label,Age,NA,NA
ageband,categorical,factor,Age,level,18-30,"41,086 (16%)","10,464 (16%)"
ageband,categorical,factor,Age,level,30s,"59,518 (24%)","14,724 (23%)"
ageband,categorical,factor,Age,level,40s,"64,553 (26%)","16,286 (25%)"
ageband,categorical,factor,Age,level,50s,"67,776 (27%)","17,543 (27%)"
ageband,categorical,factor,Age,level,60-64,"20,201 (8.0%)","5,190 (8.1%)"
sex,categorical,factor,Sex,label,Sex,NA,NA
sex,categorical,factor,Sex,level,Female,"200,149 (79%)","49,331 (77%)"
sex,categorical,factor,Sex,level,Male,"52,985 (21%)","14,876 (23%)"
ethnicity_combined,categorical,factor,Ethnicity,label,Ethnicity,NA,NA
ethnicity_combined,categorical,factor,Ethnicity,level,White,"211,463 (84%)","54,287 (85%)"
ethnicity_combined,categorical,factor,Ethnicity,level,Black,"8,518 (3.4%)","3,161 (4.9%)"
ethnicity_combined,categorical,factor,Ethnicity,level,South Asian,"23,140 (9.1%)","4,701 (7.3%)"
ethnicity_combined,categorical,factor,Ethnicity,level,Mixed,"3,848 (1.5%)","1,007 (1.6%)"
ethnicity_combined,categorical,factor,Ethnicity,level,Other,"6,165 (2.4%)","1,051 (1.6%)"
imd_Q5,categorical,factor,IMD,label,IMD,NA,NA
imd_Q5,categorical,factor,IMD,level,1 most deprived,"36,850 (15%)","10,300 (16%)"
imd_Q5,categorical,factor,IMD,level,2,"47,279 (19%)","12,116 (19%)"
imd_Q5,categorical,factor,IMD,level,3,"55,832 (22%)","13,751 (21%)"
imd_Q5,categorical,factor,IMD,level,4,"57,499 (23%)","14,353 (22%)"
imd_Q5,categorical,factor,IMD,level,5 least deprived,"55,674 (22%)","13,687 (21%)"
region,categorical,factor,Region,label,Region,NA,NA
region,categorical,factor,Region,level,North East and Yorkshire,"53,522 (21%)","16,418 (26%)"
region,categorical,factor,Region,level,East of England,"62,377 (25%)","11,861 (18%)"
region,categorical,factor,Region,level,Midlands,"50,582 (20%)","17,224 (27%)"
region,categorical,factor,Region,level,South West,"35,948 (14%)","5,056 (7.9%)"
region,categorical,factor,Region,level,London,"10,405 (4.1%)","2,148 (3.3%)"
region,categorical,factor,Region,level,North West,"23,644 (9.3%)","7,875 (12%)"
region,categorical,factor,Region,level,South East,"16,656 (6.6%)","3,625 (5.6%)"
rural_urban_group,categorical,factor,Rural/urban category,label,Rural/urban category,NA,NA
rural_urban_group,categorical,factor,Rural/urban category,level,Urban conurbation,"61,699 (24%)","19,295 (30%)"
rural_urban_group,categorical,factor,Rural/urban category,level,Urban city or town,"144,222 (57%)","32,194 (50%)"
rural_urban_group,categorical,factor,Rural/urban category,level,Rural town or village,"47,213 (19%)","12,718 (20%)"
vax1_day,continuous,integer,Vaccination day (from 4 January 2021),label,Vaccination day (from 4 January 2021),"12 (7, 18)","19 (13, 33)"
sev_obesity,dichotomous,logical,Body Mass Index > 40 kg/m^2,label,Body Mass Index > 40 kg/m^2,"9,789 (3.9%)","2,860 (4.5%)"
chronic_heart_disease,dichotomous,logical,Chronic heart disease,label,Chronic heart disease,"9,207 (3.6%)","2,527 (3.9%)"
chronic_kidney_disease,dichotomous,logical,Chronic kidney disease,label,Chronic kidney disease,"1,994 (0.8%)",551 (0.9%)
diabetes,dichotomous,logical,Diabetes,label,Diabetes,"12,674 (5.0%)","3,339 (5.2%)"
chronic_liver_disease,dichotomous,logical,Chronic liver disease,label,Chronic liver disease,"3,854 (1.5%)","1,189 (1.9%)"
chronic_resp_disease,dichotomous,logical,Chronic respiratory disease,label,Chronic respiratory disease,"2,579 (1.0%)",731 (1.1%)
chronic_neuro_disease,dichotomous,logical,Chronic neurological disease,label,Chronic neurological disease,"6,063 (2.4%)","1,620 (2.5%)"
immunosuppressed,dichotomous,logical,Immunosuppressed,label,Immunosuppressed,"2,527 (1.0%)",681 (1.1%)
asplenia,dichotomous,logical,Asplenia or poor spleen function,label,Asplenia or poor spleen function,"1,704 (0.7%)",481 (0.7%)
learndis,dichotomous,logical,Learning disabilities,label,Learning disabilities,187 (<0.1%),60 (<0.1%)
sev_mental,dichotomous,logical,Serious mental illness,label,Serious mental illness,"1,276 (0.5%)",434 (0.7%)
multimorb,categorical,factor,Morbidity count,label,Morbidity count,NA,NA
multimorb,categorical,factor,Morbidity count,level,0,"210,107 (83%)","52,455 (82%)"
multimorb,categorical,factor,Morbidity count,level,1,"36,544 (14%)","9,835 (15%)"
multimorb,categorical,factor,Morbidity count,level,2+,"6,483 (2.6%)","1,917 (3.0%)"
prior_covid_infection,dichotomous,logical,Prior SARS-CoV-2 infection,label,Prior SARS-CoV-2 infection,"27,312 (11%)","9,085 (14%)"
prior_tests_cat,categorical,factor,Number of SARS-CoV-2 tests in previous 3 months,label,Number of SARS-CoV-2 tests in previous 3 months,NA,NA
prior_tests_cat,categorical,factor,Number of SARS-CoV-2 tests in previous 3 months,level,0,"160,576 (63%)","42,095 (66%)"
prior_tests_cat,categorical,factor,Number of SARS-CoV-2 tests in previous 3 months,level,1-3,"73,611 (29%)","18,946 (30%)"
prior_tests_cat,categorical,factor,Number of SARS-CoV-2 tests in previous 3 months,level,4-6,"10,696 (4.2%)","1,765 (2.7%)"
prior_tests_cat,categorical,factor,Number of SARS-CoV-2 tests in previous 3 months,level,7+,"8,251 (3.3%)","1,401 (2.2%)"
