model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_name,outcome
0,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.2951228529274089,0.05886092632046631,0.05968893839103098,4.944347493567666,7.639932201240237e-7,0.17813468340555805,0.4121110224492598,NA,Unadjusted,emergency
0,timesincevax_pw1-7,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,TRUE,1-7,0,NA,NA,NA,NA,NA,NA,NA,Unadjusted,emergency
0,timesincevax_pw8-14,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,8-14,0.07421288703744204,0.04817088657260839,0.048611507319289496,1.5266526616835367,0.12684740454060342,-0.021063916542570574,0.16948969061745467,NA,Unadjusted,emergency
0,timesincevax_pw15-21,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,15-21,0.01400674514906792,0.05248512324865871,0.05315441351230738,0.2635104824517497,0.7921571451501895,-0.09017399095440372,0.11818748125253957,NA,Unadjusted,emergency
0,timesincevax_pw22-28,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,22-28,-0.049426985140424144,0.05563266011300252,0.05646035870958416,-0.8754281104493568,0.3813410101605929,-0.16008725476542143,0.06123328448457314,NA,Unadjusted,emergency
0,timesincevax_pw29-35,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,29-35,-0.04344833267436665,0.05707449693222697,0.05803289705930164,-0.7486845371508583,0.45404736568836296,-0.15719072082911825,0.07029405548038495,NA,Unadjusted,emergency
0,timesincevax_pw36+,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,36+,-0.1523879106056453,0.051113889461527444,0.05225045365135843,-2.9164897136100456,0.0035399439557408036,-0.25479691793818715,-0.04997890327310345,NA,Unadjusted,emergency
0,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,-0.4089908707552242,0.08248886077329473,0.08282413968399034,-4.93806361666659,7.890210572984318e-7,-0.5713232015863599,-0.24665853992408854,NA,Unadjusted,emergency
0,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,-0.23674941850580167,0.08189728322445103,0.08251800151833998,-2.8690638909036483,0.004116886289084203,-0.39848172955796946,-0.07501710745363385,NA,Unadjusted,emergency
0,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,-0.2775662604482944,0.08428501121109357,0.08475140169124633,-3.2750639506763846,0.001056380570020069,-0.4436759554024242,-0.11145656549416463,NA,Unadjusted,emergency
0,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,-0.2776961135232248,0.08484586392936441,0.08548767433206063,-3.24837604593812,0.0011606576651229305,-0.44524887633615284,-0.1101433507102968,NA,Unadjusted,emergency
0,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,-0.21821799508779638,0.06541751371830806,0.06612686931347332,-3.299989812814782,9.668833816151534e-4,-0.3478242773525909,-0.08861171282300181,NA,Unadjusted,emergency
1,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.27496016320518296,0.059194993579793485,0.06003308240719269,4.5801440169302285,4.6465586143677975e-6,0.15729748380616018,0.39262284260420577,NA,Adjusting for time,emergency
1,timesincevax_pw1-7,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,TRUE,1-7,0,NA,NA,NA,NA,NA,NA,NA,Adjusting for time,emergency
1,timesincevax_pw8-14,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,8-14,0.07168965422742142,0.048352306698400516,0.0489347584743372,1.4650047627192753,0.14291961834296135,-0.024220709974445684,0.1676000184292885,NA,Adjusting for time,emergency
1,timesincevax_pw15-21,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,15-21,0.008870561936196182,0.05269905816953047,0.053545992042543386,0.16566248187442936,0.8684225731314642,-0.09607765398365717,0.11381877785604952,NA,Adjusting for time,emergency
1,timesincevax_pw22-28,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,22-28,-0.05252719858170044,0.05585612395584478,0.05682278826592285,-0.9244037504087332,0.35527614280264297,-0.1638978170840544,0.05884341992065351,NA,Adjusting for time,emergency
1,timesincevax_pw29-35,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,29-35,-0.05041007852559663,0.05731738205318675,0.058430645055071936,-0.8627335617822501,0.38828397516211627,-0.164932038426981,0.06411188137578774,NA,Adjusting for time,emergency
1,timesincevax_pw36+,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,36+,-0.1623703415569829,0.05131423930088488,0.05251392904184598,-3.091948070151013,0.001988476318801704,-0.265295751165693,-0.05944493194827283,NA,Adjusting for time,emergency
1,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,-0.40562043986551677,0.08274094946533253,0.08311681029655085,-4.8801251927054405,1.0601851887972002e-6,-0.5685263945566044,-0.2427144851744292,NA,Adjusting for time,emergency
1,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,-0.23094627518391184,0.08222757410577346,0.08290903127385872,-2.785538217435781,0.005343894013085672,-0.3934449904737799,-0.06844755989404377,NA,Adjusting for time,emergency
1,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,-0.2757862415139502,0.08461591578436509,0.08511221770586781,-3.24026619147696,0.001194181617909595,-0.4426031228617834,-0.10896936016611702,NA,Adjusting for time,emergency
1,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,-0.2790576412574508,0.085189697548942,0.08584835037295165,-3.2505882762468765,0.0011516650840327483,-0.4473173161206117,-0.1107979663942899,NA,Adjusting for time,emergency
1,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,-0.21897861764071044,0.06578621148922778,0.06653260898882726,-3.291297620351597,9.972634400790886e-4,-0.3493801350562977,-0.08857710022512316,NA,Adjusting for time,emergency
2,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.2997370503785001,0.05917124465304973,0.06001496517542662,4.9943718121364284,5.902758217363299e-7,0.1821098801012384,0.41736422065576184,NA,Adjusting for time + demographics,emergency
