model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model_name,outcome
0,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24136388.753599577,14058,0.1948316313781244,0.06467022602112231,3.012694455629231,0.002589394819017024,0.06808031750465965,0.32158294525158915,1.215106383478632,1.0704512810019287,1.3793094084473894,Unadjusted,emergency
0,"ns(tstop, 3)1","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)1",13417368.972479958,7780,-0.30677715807871964,0.07732828419388173,-3.9672050308209488,7.272042957097571e-5,-0.45833781008500574,-0.15521650607243356,0.7358145529675681,0.6323338313783762,0.8562297784678946,Unadjusted,emergency
0,"ns(tstop, 3)2","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)2",24136388.753599577,14058,-0.05675028286198203,0.14482700128108453,-0.39184877377830535,0.6951699547422372,-0.3406059893618439,0.22710542363787983,0.944829980148371,0.7113391281817992,1.2549621636433024,Unadjusted,emergency
0,"ns(tstop, 3)3","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)3",3012928.7737599923,1869,-0.1702329702241071,0.14845091067884475,-1.146729039556956,0.25149362467492326,-0.46119140862681524,0.12072546817860103,0.8434682907082189,0.6305319765870327,1.1283151114415275,Unadjusted,emergency
0,"ns(tstop_calendar, 3)1","ns(tstop_calendar, 3)","ns(tstop_calendar, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop_calendar, 3)1",15957802.546239868,9389,0.15750406439518017,0.06039017647075838,2.608107371096116,0.009104439136790172,0.039141493492475574,0.27586663529788474,1.1705855156941531,1.0399176148160683,1.3176721213586788,Unadjusted,emergency
0,"ns(tstop_calendar, 3)2","ns(tstop_calendar, 3)","ns(tstop_calendar, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop_calendar, 3)2",24136388.753599577,14058,-0.013177577995121488,0.1632978642499116,-0.08069657282813252,0.9356832624162741,-0.333235510677259,0.306880354687016,0.9869088661609814,0.7166014069982033,1.3591783390254992,Unadjusted,emergency
0,"ns(tstop_calendar, 3)3","ns(tstop_calendar, 3)","ns(tstop_calendar, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop_calendar, 3)3",5637300.962560024,3728,0.5281493895523723,0.05761371810987984,9.167076989287436,4.86018659280275e-20,0.4152285770415648,0.6410702020631799,1.6957911541615116,1.5147169306398176,1.8985115834928512,Unadjusted,emergency
0,"vax1_az:ns(tstop, 3)1","vax1_az:ns(tstop, 3)","vax1_az * ns(tstop, 3)",NA,interaction,NA,NA,NA,NA,"vax1_az * ns(tstop, 3)1",13417368.972479958,7780,0.15729915469995306,0.11585677531632409,1.3577035462145286,0.17455777109877715,-0.06977595228499123,0.38437426168489736,1.170345675946479,0.932602744014397,1.4686950151043903,Unadjusted,emergency
0,"vax1_az:ns(tstop, 3)2","vax1_az:ns(tstop, 3)","vax1_az * ns(tstop, 3)",NA,interaction,NA,NA,NA,NA,"vax1_az * ns(tstop, 3)2",24136388.753599577,14058,-0.8504482807733278,0.22207652126420827,-3.829528110094695,1.2838921762012734e-4,-1.2857102642631193,-0.41518629728353623,0.4272233729918074,0.2764541583742266,0.6602172725628751,Unadjusted,emergency
0,"vax1_az:ns(tstop, 3)3","vax1_az:ns(tstop, 3)","vax1_az * ns(tstop, 3)",NA,interaction,NA,NA,NA,NA,"vax1_az * ns(tstop, 3)3",3012928.7737599923,1869,-0.5044857613396615,0.27147333306087096,-1.8583252935069812,0.06312283405316839,-1.0365637169020152,0.027592194222692212,0.6038160011352643,0.3546713415044181,1.0279763842222924,Unadjusted,emergency
