outcome,model_name,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n
postest,0 unadjusted,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,0.8606607703544393,0.0629432246257837,0.06305482023121489,-2.379752199485329,0.0173242836411822,0.7606058259519224,0.9738775806772728,NA
postest,0 unadjusted,timesincevax1-7,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,TRUE,1-7,1,NA,NA,NA,NA,NA,NA,NA
postest,0 unadjusted,timesincevax8-14,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,8-14,1.1414246478471548,0.03714128137317683,0.03740051204249364,3.536774393252795,4.0504550451642986e-4,1.0607471482617805,1.2282382553164992,NA
postest,0 unadjusted,timesincevax15-21,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,15-21,0.6161599933463269,0.05525041608844181,0.05551417752032155,-8.722972064872737,2.7099314871229063e-18,0.552636726025811,0.6869849930726714,NA
postest,0 unadjusted,timesincevax22-28,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,22-28,0.5298109864939172,0.07273317925205729,0.07251193817773134,-8.760419060142416,1.9452583661510183e-18,0.45961975423011175,0.6107215341077867,NA
postest,0 unadjusted,timesincevax29-35,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,29-35,0.5684248540291961,0.08817212587328996,0.08780514792237966,-6.433405908205243,1.2477584795204595e-10,0.47855645823876125,0.6751696881643763,NA
postest,0 unadjusted,timesincevax36+,timesincevax,timesincevax,factor,categorical,6,contr.treatment,treatment,FALSE,36+,0.8297222563289343,0.08402698152553947,0.08507178334216804,-2.1941971566662364,0.02822123890076865,0.7022948867436805,0.9802705895235148,NA
postest,0 unadjusted,vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,1.2052258813891388,0.0902251651938607,0.09036519458641419,2.065695798750071,0.03885721224458354,1.0096002656866245,1.4387569759426921,NA
postest,0 unadjusted,vax1_az:timesincevax15-21,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,1.784863465231626,0.11344642181460339,0.11384147314477282,5.089023413312825,3.5991217944901906e-7,1.427916994217168,2.2310383603671418,NA
postest,0 unadjusted,vax1_az:timesincevax22-28,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,1.6542816022122027,0.14458309552987827,0.14450313595524283,3.4834319272695815,4.950289941626479e-4,1.2462585405279072,2.1958907645748575,NA
postest,0 unadjusted,vax1_az:timesincevax29-35,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,1.9636428635262686,0.15699706872206243,0.15695833361316433,4.299238762807508,1.713857591207637e-5,1.4436413991058703,2.6709495154861997,NA
