model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model_name,outcome
0,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24667500.92131951,155,-0.7281427327751387,1.0955062744005302,-0.6646632244745329,0.506265920638466,-2.875295575437831,1.4190101098875534,0.48280485553610863,0.056399466742793475,4.13302717191076,Unadjusted,covidadmitted
0,timesincevax_pw1-7,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,TRUE,1-7,2464969.743559993,6,0,NA,NA,NA,NA,NA,NA,NA,NA,Unadjusted,covidadmitted
0,timesincevax_pw8-14,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,8-14,2453560.624359993,84,2.994544993633218,0.6109924727419267,4.90111601570919,9.529375749464567e-7,1.797021752233971,4.1920682350324645,19.97626849234353,6.031656918815862,66.1594829164353,Unadjusted,covidadmitted
0,timesincevax_pw15-21,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,15-21,2441634.428799993,35,2.0204629698654557,0.9059491758144607,2.230216687430652,0.02573306094161366,0.24483521344536774,3.7960907262855437,7.541815758953327,1.2774107957362595,44.52677645425212,Unadjusted,covidadmitted
0,timesincevax_pw22-28,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,22-28,2421602.345239993,12,0.9906488575677489,1.1397072377881168,0.869213447736234,0.3847303933184876,-1.2431362814165867,3.2244339965520847,2.6929812668523634,0.2884780493367246,25.139341174457012,Unadjusted,covidadmitted
0,timesincevax_pw29-35,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,29-35,2370806.230199993,2,0.010485485450851584,1.3602792773943757,0.007708332858629299,0.9938497011294457,-2.655612907158294,2.676583878059997,1.010540650796637,0.0702557652051552,14.535353845061502,Unadjusted,covidadmitted
0,timesincevax_pw36+,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,FALSE,36+,12514927.549160203,16,0.16866595050852415,1.5567251709615468,0.10834664567307264,0.9137207224715398,-2.882459318403065,3.2197912194201135,1.1837246502537877,0.05599687919822186,25.022895341334422,Unadjusted,covidadmitted
0,"ns(tstop, 3)1","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)1",13517532.976280231,18,-2.1153842145785475,2.1179190816360136,-0.9988031331888714,0.31789006794239744,-6.26642933675528,2.035660907598185,0.1205869493875075,0.0018989971712454555,7.657311228667314,Unadjusted,covidadmitted
0,"ns(tstop, 3)2","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)2",24667500.92131951,155,-0.9914226471981439,2.491685293822034,-0.3978924022453034,0.6907095007926729,-5.875036083897433,3.8921907895011447,0.37104844432710216,0.0028086928441124577,49.01815744151557,Unadjusted,covidadmitted
0,"ns(tstop, 3)3","ns(tstop, 3)","ns(tstop, 3)",nmatrix.3,continuous,NA,NA,NA,NA,"ns(tstop, 3)3",2911802.16411999,3,1.231197482472862,1.7246637741927668,0.7138768152355534,0.4753033549631154,-2.1490814003858807,4.611476365331605,3.425328852634899,0.11659120923706755,100.63261051556974,Unadjusted,covidadmitted
0,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2453560.624359993,84,-2.0992353021279087,1.308537770524964,-1.6042603808721012,0.10865667022297447,-4.663922204767175,0.4654516005113578,0.12255010623620313,0.009429405717208059,1.592733305673424,Unadjusted,covidadmitted
0,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2441634.428799993,35,0.7034867618495441,1.1575961388923255,0.607713466047574,0.5433775302777729,-1.5653599790220394,2.9723335027211277,2.0207864389325088,0.20901275942047948,19.537457153792378,Unadjusted,covidadmitted
0,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2421602.345239993,12,1.2944147500836345,1.2421317071116402,1.042091384249074,0.29736931269251493,-1.140118659910435,3.728948160077704,3.648859854195736,0.3197810743712845,41.63529146225454,Unadjusted,covidadmitted
0,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2370806.230199993,2,-11.432416691218714,1.3037646944016292,-8.76877303113787,1.8062372477665087e-18,-13.987748536560776,-8.877084845876652,1.0838383559289512e-5,8.417788239869394e-7,1.395503840568218e-4,Unadjusted,covidadmitted
0,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12514927.549160203,16,1.5843003952002932,1.206626670431823,1.3129996493723364,0.18918306632264809,-0.7806444216315604,3.949245212032147,4.875878996643705,0.4581106997183082,51.89618143503295,Unadjusted,covidadmitted
1,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24667500.92131951,155,0.29813012698136326,1.1081784201917988,0.2690271905220498,0.7879087587476576,-1.8738596650390567,2.470119919001783,1.3473371013826798,0.15352994262159275,11.823864672681585,Adjusting for time,covidadmitted
1,timesincevax_pw1-7,timesincevax_pw,timesincevax_pw,factor,categorical,6,contr.treatment,treatment,TRUE,1-7,2464969.743559993,6,0,NA,NA,NA,NA,NA,NA,NA,NA,Adjusting for time,covidadmitted
