model,term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model_name,outcome,pw,term_left,term_right,term_midpoint
0,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24667500.92131951,155,-0.7281427327751387,1.0955062744005302,-0.6646632244745329,0.506265920638466,-2.875295575437831,1.4190101098875534,0.48280485553610863,0.056399466742793475,4.13302717191076,Unadjusted,covidadmitted,1-7,0,6,3.5
0,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2453560.624359993,84,-2.0992353021279087,1.308537770524964,-1.6042603808721012,0.10865667022297447,-4.663922204767175,0.4654516005113578,0.12255010623620313,0.009429405717208059,1.592733305673424,Unadjusted,covidadmitted,8-14,7,13,10.5
0,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2441634.428799993,35,0.7034867618495441,1.1575961388923255,0.607713466047574,0.5433775302777729,-1.5653599790220394,2.9723335027211277,2.0207864389325088,0.20901275942047948,19.537457153792378,Unadjusted,covidadmitted,15-21,14,20,17.5
0,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2421602.345239993,12,1.2944147500836345,1.2421317071116402,1.042091384249074,0.29736931269251493,-1.140118659910435,3.728948160077704,3.648859854195736,0.3197810743712845,41.63529146225454,Unadjusted,covidadmitted,22-28,21,27,24.5
0,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2370806.230199993,2,-11.432416691218714,1.3037646944016292,-8.76877303113787,1.8062372477665087e-18,-13.987748536560776,-8.877084845876652,1.0838383559289512e-5,8.417788239869394e-7,1.395503840568218e-4,Unadjusted,covidadmitted,29-35,28,34,31.5
0,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12514927.549160203,16,1.5843003952002932,1.206626670431823,1.3129996493723364,0.18918306632264809,-0.7806444216315604,3.949245212032147,4.875878996643705,0.4581106997183082,51.89618143503295,Unadjusted,covidadmitted,36+,35,41,38.5
1,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24667500.92131951,155,0.29813012698136326,1.1081784201917988,0.2690271905220498,0.7879087587476576,-1.8738596650390567,2.470119919001783,1.3473371013826798,0.15352994262159275,11.823864672681585,Adjusting for time,covidadmitted,1-7,0,6,3.5
1,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2453560.624359993,84,-2.0961844410331434,1.3070377694310404,-1.6037673050149286,0.10876535388612427,-4.657931395551549,0.46556251348526256,0.1229245605010087,0.009486065036003669,1.5929099702580096,Adjusting for time,covidadmitted,8-14,7,13,10.5
1,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2441634.428799993,35,0.6821534658238815,1.1774790896220966,0.5793338258285451,0.5623639457036089,-1.6256631423844377,2.9899700740322004,1.9781329905996117,0.1967811380135312,19.88508740217517,Adjusting for time,covidadmitted,15-21,14,20,17.5
1,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2421602.345239993,12,1.1207572585948211,1.2621623276477878,0.8879660199362039,0.37455902981559924,-1.3530354462380856,3.5945499634277276,3.0671759694580616,0.2584545438757558,36.39931527821543,Adjusting for time,covidadmitted,22-28,21,27,24.5
1,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2370806.230199993,2,-17.945875990191933,3.11913919413906,-5.753470708813726,8.74296030843462e-9,-24.059276473471776,-11.83247550691209,1.607700269408188e-8,3.557861099170844e-11,7.2647584720424385e-6,Adjusting for time,covidadmitted,29-35,28,34,31.5
1,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12514927.549160203,16,0.8511224920292316,1.202515378284076,0.7077851205892577,0.47907870785643514,-1.505764340263116,3.2080093243215795,2.3422745613840488,0.22184766191167735,24.72980816489759,Adjusting for time,covidadmitted,36+,35,41,38.5
2,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24667500.92131951,155,0.2515040181581532,1.1060617040591676,0.22738696876960063,0.8201228523359839,-1.9163370864768143,2.419345122793121,1.2859580672364135,0.14714495546454182,11.238497068891423,Adjusting for time + demographics,covidadmitted,1-7,0,6,3.5
2,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2453560.624359993,84,-2.09134489135153,1.3070394603435096,-1.600062549604962,0.10958470798467541,-4.653095159997476,0.47040537729441656,0.12352090186655594,0.009532052995666833,1.6006429260163784,Adjusting for time + demographics,covidadmitted,8-14,7,13,10.5
2,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2441634.428799993,35,0.6762044175552975,1.1758861320304224,0.5750594374199175,0.5652510995648721,-1.6284900511444407,2.9808988862550354,1.9663999168717476,0.19622564122997282,19.705521708763236,Adjusting for time + demographics,covidadmitted,15-21,14,20,17.5
2,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2421602.345239993,12,1.1111086020011016,1.260799949583709,0.8812727208372491,0.3781702272537401,-1.3600138908928834,3.5822310948950866,3.0377241555238355,0.25665721173095796,35.95366747273032,Adjusting for time + demographics,covidadmitted,22-28,21,27,24.5
2,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2370806.230199993,2,-18.156914343830948,2.713746978190686,-6.6907174802039044,2.220790449925649e-11,-23.475760684239095,-12.838068003422801,1.3018240548374267e-8,6.376856974181158e-11,2.6576507464650777e-6,Adjusting for time + demographics,covidadmitted,29-35,28,34,31.5
2,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12514927.549160203,16,0.8300762292951296,1.20155549797906,0.6908346977657421,0.48966942773627753,-1.524929272169917,3.185081730760176,2.2934935649985593,0.21763644927469475,24.169263697417843,Adjusting for time + demographics,covidadmitted,36+,35,41,38.5
3,vax1_az,vax1_az,vax1_az,numeric,continuous,NA,NA,NA,NA,vax1_az,24667500.92131951,155,0.23976924817083356,1.106348846783809,0.21672119862360803,0.8284256264941324,-1.928634645862854,2.408173142204521,1.2709558410967632,0.1453465125305669,11.11363954933746,Adjusting for time + demographics + clinical,covidadmitted,1-7,0,6,3.5
3,vax1_az:timesincevax_pw8-14,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,2453560.624359993,84,-2.092390916433378,1.306958969497593,-1.6009614419936322,0.10938545950214308,-4.653983425920243,0.46920159305348674,0.1233917634578532,0.009523589757176414,1.5987172565644938,Adjusting for time + demographics + clinical,covidadmitted,8-14,7,13,10.5
3,vax1_az:timesincevax_pw15-21,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,2441634.428799993,35,0.6720827833980879,1.174659526645113,0.5721511366937025,0.5672195878219293,-1.6302075829232012,2.974373149719377,1.9583118153553372,0.19588890671424675,19.577347336746364,Adjusting for time + demographics + clinical,covidadmitted,15-21,14,20,17.5
3,vax1_az:timesincevax_pw22-28,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2421602.345239993,12,1.104480230960328,1.2597089138176987,0.876774164924394,0.38060931424685496,-1.3645038711264317,3.573464333047088,3.0176555771698337,0.2555074091505778,35.63984783336609,Adjusting for time + demographics + clinical,covidadmitted,22-28,21,27,24.5
3,vax1_az:timesincevax_pw29-35,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2370806.230199993,2,-18.309244481564313,2.6377594490405025,-6.941210840216832,3.887532906950652e-12,-23.479158001563913,-13.139330961564713,1.1178824905744055e-8,6.355229525958724e-11,1.966351109158905e-6,Adjusting for time + demographics + clinical,covidadmitted,29-35,28,34,31.5
3,vax1_az:timesincevax_pw36+,vax1_az:timesincevax_pw,vax1_az * timesincevax_pw,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,12514927.549160203,16,0.8225446232427315,1.1994881958931387,0.6857463258571418,0.4928730883055243,-1.5284090405887452,3.173498287074208,2.276284761295842,0.216880440961511,23.890915619390523,Adjusting for time + demographics + clinical,covidadmitted,36+,35,41,38.5
